FECHA HECHO;COD_DEPTO;DEPARTAMENTO;COD_MUNI;MUNICIPIO;CANTIDAD;AÑO;AÑO_MES;DIA;AÑO_SEMANA
2022-02-24;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;24;2022-W08
2022-02-24;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;24;2022-W08
2022-02-26;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;26;2022-W08
2022-02-27;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;27;2022-W09
2022-02-27;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;27;2022-W09
2022-02-27;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-02;27;2022-W09
2022-03-05;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;5;2022-W09
2022-03-07;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;7;2022-W10
2022-03-18;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;18;2022-W11
2022-03-19;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;19;2022-W11
2022-03-20;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;20;2022-W12
2022-03-20;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;20;2022-W12
2022-03-20;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;20;2022-W12
2022-03-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-03;21;2022-W12
2022-04-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;1;2022-W13
2022-04-02;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;2;2022-W13
2022-04-03;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;3;2022-W14
2022-04-03;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;3;2022-W14
2022-04-03;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;3;2022-W14
2022-04-10;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;10;2022-W15
2022-04-14;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;14;2022-W15
2022-04-16;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;16;2022-W15
2022-04-22;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;22;2022-W16
2022-04-27;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;27;2022-W17
2022-04-30;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-04;30;2022-W17
2022-05-03;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;3;2022-W18
2022-05-03;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;3;2022-W18
2022-05-16;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;16;2022-W20
2022-05-18;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;18;2022-W20
2022-05-18;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;18;2022-W20
2022-05-25;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;25;2022-W21
2022-05-31;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-05;31;2022-W22
2022-06-04;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-06;4;2022-W22
2022-06-15;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-06;15;2022-W24
2022-06-18;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-06;18;2022-W24
2022-06-18;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-06;18;2022-W24
2022-06-20;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-06;20;2022-W25
2022-07-09;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;9;2022-W27
2022-07-15;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;15;2022-W28
2022-07-16;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;16;2022-W28
2022-07-17;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;17;2022-W29
2022-07-17;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;17;2022-W29
2022-07-17;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;17;2022-W29
2022-07-17;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;17;2022-W29
2022-07-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-07;21;2022-W29
2022-08-01;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;1;2022-W31
2022-08-05;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;5;2022-W31
2022-08-10;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;10;2022-W32
2022-08-11;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;11;2022-W32
2022-08-11;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;11;2022-W32
2022-08-13;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;13;2022-W32
2022-08-15;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;15;2022-W33
2022-08-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;21;2022-W34
2022-08-21;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;21;2022-W34
2022-08-24;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-08;24;2022-W34
2022-09-05;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-09;5;2022-W36
2022-09-13;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-09;13;2022-W37
2022-09-16;13;BOLIVAR;13001;CARTAGENA;1;2022;2022-09;16;2022-W37
